tic id,toi,tfopwg disposition,period (days),epoch (bjd),duration (hours),sectors
231912935,215.01,PC,26.285140386071,2458334.396978,2.76927788470214,"1,2,28,29,68,69"
321669174,2081.02,PC,5.10971968625831,2458686.965949,1.63549759225856,"14,17,20,21,24,25,26,40,41,47,50,52,53,54,57,58,60"
64334960,7642.01,PC,3.682284156645839,2460687.21238,5.367056450019879,"7,87"
440001383,7411.01,PC,3.1551543,2460604.178838,2.97,"17,57,84"
289389326,6588.01,PC,1.7988855,2460064.512133,1.415,64
53728859,6013.01,KP,3.2573898016453,2459853.92256,3.14008263299369,57
366410512,5101.01,KP,10.1367283,2460247.820034,5.341,"7,34,44,45,46,71"
234330672,2217.01,PC,3.8300358542173,2459039.604534,4.17449851127008,"27,29,67,69"
233078665,1876.01,PC,6.4827646827791,2459945.349797,2.29303592239289,"24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60"
382980571,1943.01,PC,1.742573,2460091.697304,1.962,"11,37,38,64,65"
198385543,1846.01,CP,3.93067462792567,2459884.349803,1.43051415609098,"17,20,23,24,25,26,40,47,50,51,52,53,54,58"
25758870,6211.01,PC,10.3473602,2459881.500754,2.365,"17,57"
39018923,2216.01,PC,5.68074123010948,2459037.730148,4.10938968424037,"27,29,67,69"
361467239,6760.01,PC,5.2820398,2460120.980857,2.762,"12,39,66"
439942982,6025.01,PC,1.0222806,2459880.796253,2.071,"17,57"
269701147,1339.01,CP,8.8803281,2460651.26694,2.71,"15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76,77,78,79,82,83,85,86"
212957629,2406.01,CP,3.07668346844733,2459115.976073,1.24917514298097,"30,42,43,70"
122881136,6357.01,PC,5.1941869,2459933.829498,1.581,"19,59"
37075377,7538.01,PC,28.286464651783923,2460678.586453,4.285397988796121,"6,32,33,87"
445903569,1994.01,CP,4.0337201,2460032.218521,3.48,"9,10,36,62,63"
323132914,1057.01,PC,51.1701500609708,2458607.350901,6.66410484803984,"10,11,12,13,37,38,39,64,65,66"
160075684,7390.01,PC,81.37166805648614,2458689.030976,4.8546107144821935,"14,19,20,21,26,40,41,47,52,53,73,74"
7274938,4215.01,PC,1.0994412,2459251.093808,1.394,"7,34"
220475245,934.01,PC,3.78173832724934,2458625.082479,2.40922329390144,"2,3,4,5,6,7,9,10,12,13,27,29,30,31,32,33,36,37,39,63,64,65,66,67,68,69"
248111245,770.01,KP,4.63704787370184,2459310.764623,4.82383217195436,"10,11,37"
310497279,6539.01,PC,2.3645949,2460036.316219,2.442,"9,10,36,63"
237928815,703.01,PC,8.67296825078752,2458356.921235,2.95988854428298,"2,4,8,29,30,31,38,62,65,68,69"
207237016,917.01,PC,26.4126516686795,2459104.563086,3.05113831910956,"2,3,4,29,30,69"
406976746,1063.01,PC,10.066523777137196,2458629.391681,2.4023189403877168,"12,13,39,65"
14336130,1716.01,CP,8.082354,2460298.678071,3.284,"20,47,60,73"
273270473,6684.01,PC,2.70864442182451,2460100.292201,2.15547076119939,"66,67"
35285308,5509.01,PC,5.7656076,2459572.855698,2.955,"44,45,46"
63283780,5994.01,KP,7.97266437122265,2459397.430362,2.53955489036654,"40,41,54,55"
354937825,4821.01,PC,5.469359,2459965.307736,2.119,"7,8,34,35,61"
71347873,2293.01,PC,6.06833180313888,2459600.314533,1.9825707034461,"20,26,40,47,53,60"
148691985,6626.01,PC,1.2864856,2460092.410385,1.328,65
167303382,802.01,PC,3.69391604133744,2458327.391469,1.72642011971206,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,32,33,35,36,37,38,39,61,62,63,65,66,67,68,69"
219506608,5757.01,PC,32.6116713,2459703.44826,2.052,"24,25,50,51,52"
174599051,970.01,PC,4.985780839048749,2459229.048399,3.671240962566882,"7,8,34,61"
273695332,2223.01,PC,6.93096567369197,2459365.146877,5.29214484821393,"27,28,39"
200723869,257.01,CP,18.3877080853847,2459121.270086,6.40515299694267,"3,4,30"
90850770,2207.01,CP,8.00048904123634,2459043.770189,4.670689462798731,"27,67"
90048949,6603.01,PC,5.015806,2460090.855431,5.154,"38,64,65"
381789320,3304.01,PC,3.4930546,2459384.958497,2.985,"13,39"
58858008,6842.01,PC,5.39209550111425,2460209.338746,4.2434028601165,70
232967440,1173.01,CP,7.0643978,2460341.784305,2.424,"14,15,21,22,41,47,48,74"
307956397,1832.01,PC,4.1508569,2459765.040315,2.19,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,51,52"
26017005,4535.01,KP,4.09847409320976,2459449.120055,2.323409011514,"42,43,44,70,71"
341815197,2089.01,PC,49.9950015,2459790.282263,5.109,"14,15,17,18,20,21,23,24,25,26,40,41,47,48,50,51,52,53,54,55,56"
22683951,3798.01,PC,2.67974356353258,2459604.436695,2.02926721607661,"20,47,60"
